# y ne np nH Bx By Bz Ex Ey Ez
4.989600000000000257e+00 -8.367499999999999938e-02 9.080599999999999783e-02 4.294100000000000347e-03 1.631100000000000019e-05 -1.675099999999999937e-05 1.044999999999999922e-03 -8.353799999999999537e-07 3.421899999999999882e-05 1.804000000000000007e-06
4.988900000000000112e+00 -8.382599999999999774e-02 9.065299999999999747e-02 4.291099999999999949e-03 1.710299999999999871e-05 -1.692399999999999924e-05 1.043700000000000053e-03 -7.627500000000000240e-07 3.454299999999999775e-05 1.905700000000000025e-06
4.979199999999999626e+00 -9.090600000000000069e-02 8.556600000000000317e-02 3.925500000000000170e-03 2.892399999999999954e-05 -2.029600000000000016e-05 1.036199999999999925e-03 1.844599999999999987e-07 3.875199999999999760e-05 3.157400000000000043e-06
4.976099999999999746e+00 -8.810600000000000376e-02 8.566200000000000203e-02 4.022000000000000401e-03 2.927100000000000147e-05 -2.087400000000000038e-05 1.037399999999999954e-03 3.260700000000000074e-07 3.923999999999999700e-05 3.616799999999999829e-06
4.968799999999999883e+00 -8.615299999999999347e-02 8.923200000000000576e-02 4.115899999999999594e-03 2.888799999999999853e-05 -2.276599999999999853e-05 1.026000000000000002e-03 1.324699999999999997e-06 4.026200000000000178e-05 4.715499999999999999e-06
4.963300000000000267e+00 -8.454899999999999916e-02 8.475800000000000001e-02 4.194999999999999944e-03 3.057499999999999780e-05 -2.300200000000000102e-05 1.025800000000000106e-03 1.274100000000000007e-06 3.799199999999999810e-05 5.403699999999999610e-06
4.958300000000000374e+00 -8.186200000000000421e-02 8.173099999999999810e-02 4.353600000000000005e-03 3.228799999999999986e-05 -2.307300000000000084e-05 1.021399999999999999e-03 1.892400000000000084e-06 3.598200000000000210e-05 6.137699999999999698e-06
4.950499999999999901e+00 -7.961000000000000021e-02 8.427999999999999381e-02 4.385000000000000009e-03 3.543100000000000009e-05 -2.297100000000000080e-05 1.021100000000000046e-03 1.512799999999999941e-06 2.883800000000000070e-05 6.704799999999999740e-06
4.947899999999999743e+00 -7.915500000000000314e-02 8.502400000000000235e-02 4.319700000000000102e-03 3.662700000000000016e-05 -2.301100000000000042e-05 1.020000000000000073e-03 1.670299999999999915e-06 2.659100000000000003e-05 6.992599999999999763e-06
4.937700000000000422e+00 -8.283000000000000085e-02 8.487100000000000199e-02 4.318500000000000290e-03 4.111800000000000172e-05 -2.175899999999999953e-05 1.019799999999999960e-03 9.698499999999999131e-07 1.650499999999999868e-05 7.006099999999999718e-06
4.937500000000000000e+00 -8.273800000000000598e-02 8.485199999999999687e-02 4.317800000000000110e-03 4.121700000000000195e-05 -2.173500000000000112e-05 1.019699999999999903e-03 9.645400000000000859e-07 1.631699999999999980e-05 7.015699999999999592e-06
4.936600000000000321e+00 -8.310800000000000132e-02 8.444000000000000117e-02 4.294400000000000300e-03 4.159799999999999712e-05 -2.158299999999999986e-05 1.019699999999999903e-03 8.984899999999999941e-07 1.580000000000000119e-05 6.958100000000000347e-06
4.927100000000000257e+00 -8.641100000000000170e-02 7.975899999999999657e-02 4.064599999999999810e-03 4.566199999999999751e-05 -2.015100000000000070e-05 1.019699999999999903e-03 1.056700000000000059e-07 1.023000000000000031e-05 6.253299999999999912e-06
4.924999999999999822e+00 -8.718900000000000261e-02 8.064100000000000434e-02 4.061200000000000053e-03 4.626199999999999854e-05 -1.963500000000000090e-05 1.020000000000000073e-03 4.192299999999999761e-08 1.025400000000000042e-05 5.966599999999999760e-06
4.916699999999999626e+00 -8.651200000000000556e-02 8.481700000000000350e-02 4.079600000000000067e-03 4.918000000000000008e-05 -1.798200000000000164e-05 1.020599999999999979e-03 -5.855000000000000481e-07 1.038600000000000017e-05 4.993499999999999709e-06
4.912200000000000344e+00 -8.750900000000000345e-02 8.727200000000000235e-02 3.860000000000000150e-03 5.003400000000000241e-05 -1.686000000000000121e-05 1.021500000000000056e-03 -7.251800000000000389e-07 1.209099999999999994e-05 4.330900000000000327e-06
4.906299999999999883e+00 -8.868199999999999694e-02 8.660600000000000243e-02 3.916399999999999569e-03 5.151700000000000159e-05 -1.550699999999999908e-05 1.022300000000000075e-03 -1.133500000000000032e-06 1.443900000000000016e-05 3.465900000000000138e-06
4.899499999999999744e+00 -8.256600000000000050e-02 8.456199999999999828e-02 3.854699999999999967e-03 5.227899999999999870e-05 -1.380999999999999992e-05 1.023000000000000038e-03 -1.391399999999999926e-06 1.687400000000000141e-05 2.436400000000000085e-06
4.895800000000000374e+00 -8.196900000000000019e-02 8.448500000000000454e-02 3.729199999999999789e-03 5.286700000000000053e-05 -1.282699999999999933e-05 1.023000000000000038e-03 -1.583999999999999996e-06 1.817600000000000013e-05 1.859399999999999934e-06
4.886800000000000033e+00 -8.278000000000000635e-02 8.536900000000000044e-02 4.125600000000000100e-03 5.335200000000000012e-05 -1.028699999999999993e-05 1.021500000000000056e-03 -1.811299999999999920e-06 1.870699999999999894e-05 7.012800000000000433e-07
4.885399999999999743e+00 -8.302900000000000558e-02 8.557700000000000029e-02 4.151799999999999762e-03 5.348399999999999818e-05 -9.863200000000000705e-06 1.021100000000000046e-03 -1.845699999999999964e-06 1.875799999999999896e-05 5.084400000000000185e-07
4.879199999999999982e+00 -8.245399999999999952e-02 8.335499999999999854e-02 4.206299999999999623e-03 5.363899999999999923e-05 -7.973099999999999946e-06 1.018599999999999931e-03 -1.811799999999999958e-06 1.725100000000000136e-05 1.267200000000000124e-07
4.875000000000000000e+00 -8.224199999999999566e-02 8.188900000000000345e-02 4.190300000000000101e-03 5.381799999999999871e-05 -6.806799999999999780e-06 1.016799999999999995e-03 -1.889800000000000101e-06 1.623400000000000076e-05 -4.125000000000000210e-08
4.874100000000000321e+00 -8.245099999999999651e-02 8.145199999999999663e-02 4.209300000000000021e-03 5.380599999999999950e-05 -6.543399999999999896e-06 1.016299999999999929e-03 -1.888900000000000033e-06 1.594099999999999866e-05 -4.958399999999999752e-09
4.864600000000000257e+00 -8.397300000000000597e-02 8.132999999999999952e-02 3.782300000000000158e-03 5.400999999999999958e-05 -3.671800000000000149e-06 1.011100000000000020e-03 -1.826399999999999996e-06 1.269799999999999938e-05 4.150100000000000084e-07
4.861399999999999721e+00 -8.492600000000000149e-02 8.128900000000000015e-02 3.784700000000000217e-03 5.395399999999999876e-05 -2.832700000000000001e-06 1.009200000000000028e-03 -1.701199999999999907e-06 1.193200000000000028e-05 6.854199999999999529e-07
4.854199999999999626e+00 -8.555999999999999717e-02 8.161599999999999411e-02 4.189599999999999921e-03 5.394799999999999916e-05 -6.703900000000000096e-07 1.004600000000000024e-03 -1.601000000000000003e-06 1.015799999999999998e-05 1.416899999999999936e-06
