# z ne np nH Bx By Bz Ex Ey Ez
0.000000000000000000e+00 -7.016999999999999627e-02 7.623599999999999821e-02 3.743600000000000139e-03 -2.398799999999999869e-04 1.112900000000000000e-04 8.613600000000000336e-04 1.379799999999999901e-06 7.996199999999999776e-06 -0.000000000000000000e+00
8.289100000000000634e-03 -7.638599999999999557e-02 8.821600000000000275e-02 4.268899999999999952e-03 -2.821999999999999747e-04 8.046599999999999836e-05 8.771999999999999633e-04 4.900799999999999732e-06 4.588800000000000009e-06 -4.741999999999999660e-06
1.041699999999999918e-02 -7.706499999999999462e-02 8.976599999999999857e-02 4.239399999999999939e-03 -2.874099999999999875e-04 7.853500000000000617e-05 8.813000000000000087e-04 5.619600000000000372e-06 3.975800000000000118e-06 -5.418499999999999875e-06
1.706600000000000131e-02 -7.512900000000000134e-02 8.542199999999999793e-02 3.898400000000000216e-03 -3.124299999999999885e-04 6.002699999999999974e-05 9.005800000000000003e-04 6.446099999999999997e-06 4.509199999999999958e-06 -6.421599999999999639e-06
2.083300000000000082e-02 -7.813699999999999812e-02 8.532099999999999407e-02 3.863500000000000181e-03 -3.210399999999999756e-04 5.041199999999999777e-05 9.106000000000000162e-04 6.813100000000000041e-06 4.800200000000000221e-06 -6.806600000000000188e-06
2.584699999999999845e-02 -7.726099999999999635e-02 8.021699999999999664e-02 3.840399999999999890e-03 -3.317600000000000085e-04 4.931799999999999774e-05 9.253700000000000120e-04 6.901600000000000126e-06 4.854499999999999854e-06 -7.113099999999999710e-06
3.125000000000000000e-02 -7.392799999999999372e-02 7.421999999999999431e-02 3.825299999999999794e-03 -3.490300000000000108e-04 3.258900000000000257e-05 9.395200000000000036e-04 6.918799999999999724e-06 4.714699999999999939e-06 -7.558499999999999715e-06
3.463399999999999812e-02 -7.431100000000000205e-02 7.445300000000000529e-02 3.930900000000000193e-03 -3.578300000000000079e-04 3.014299999999999922e-05 9.503699999999999691e-04 6.790300000000000022e-06 4.627399999999999945e-06 -7.567399999999999748e-06
4.166700000000000265e-02 -7.732799999999999396e-02 7.720200000000000673e-02 4.242899999999999970e-03 -3.771599999999999736e-04 2.281000000000000014e-05 9.704699999999999698e-04 6.451499999999999980e-06 4.172599999999999657e-06 -8.169199999999999644e-06
4.342499999999999832e-02 -7.857500000000000595e-02 7.705499999999999849e-02 4.233400000000000010e-03 -3.814800000000000135e-04 2.133399999999999937e-05 9.769299999999999859e-04 6.406500000000000410e-06 4.125499999999999719e-06 -8.125099999999999507e-06
5.208299999999999735e-02 -7.787800000000000278e-02 8.752600000000000657e-02 4.267100000000000233e-03 -4.017800000000000191e-04 1.661100000000000071e-05 1.004700000000000081e-03 6.017100000000000378e-06 3.771199999999999994e-06 -8.971099999999999539e-06
5.222099999999999659e-02 -7.778599999999999404e-02 8.750600000000000045e-02 4.263900000000000155e-03 -4.020699999999999773e-04 1.648799999999999867e-05 1.005199999999999930e-03 6.021799999999999672e-06 3.771100000000000198e-06 -8.963199999999999157e-06
5.296700000000000019e-02 -7.802000000000000601e-02 8.705899999999999750e-02 4.227800000000000308e-03 -4.035199999999999855e-04 1.607800000000000090e-05 1.007700000000000045e-03 6.019800000000000369e-06 3.782600000000000003e-06 -9.015700000000000772e-06
6.102300000000000085e-02 -7.986400000000000443e-02 8.010000000000000453e-02 3.762099999999999993e-03 -4.200499999999999915e-04 1.076300000000000012e-05 1.034600000000000103e-03 6.135600000000000175e-06 3.920799999999999798e-06 -9.218399999999999696e-06
6.250000000000000000e-02 -8.093100000000000294e-02 8.031399999999999650e-02 3.771699999999999792e-03 -4.229200000000000233e-04 1.023899999999999972e-05 1.038800000000000097e-03 5.958799999999999598e-06 3.944799999999999907e-06 -9.455399999999999290e-06
6.983000000000000318e-02 -7.888199999999999379e-02 7.677100000000000590e-02 3.888599999999999869e-03 -4.348600000000000208e-04 4.383999999999999869e-06 1.065299999999999928e-03 6.330099999999999753e-06 4.468000000000000251e-06 -8.937400000000000184e-06
7.291699999999999571e-02 -7.777299999999999491e-02 7.525300000000000045e-02 3.916900000000000069e-03 -4.394299999999999855e-04 2.499499999999999955e-06 1.074899999999999944e-03 6.066299999999999839e-06 4.754200000000000154e-06 -9.058700000000000191e-06
7.864300000000000457e-02 -8.231600000000000028e-02 7.753599999999999381e-02 4.078199999999999707e-03 -4.457199999999999812e-04 -2.810900000000000057e-06 1.095700000000000016e-03 6.405499999999999912e-06 5.436500000000000380e-06 -7.924500000000000107e-06
8.333400000000000529e-02 -8.178199999999999359e-02 8.118400000000000616e-02 4.083400000000000050e-03 -4.502299999999999770e-04 -6.578199999999999969e-06 1.110499999999999942e-03 6.155099999999999734e-06 6.063599999999999848e-06 -7.251700000000000382e-06
8.745999999999999608e-02 -8.143000000000000238e-02 8.244100000000000039e-02 4.036600000000000431e-03 -4.520400000000000156e-04 -1.058100000000000085e-05 1.126199999999999944e-03 6.241000000000000047e-06 6.699700000000000415e-06 -6.139500000000000256e-06
9.375000000000000000e-02 -8.017399999999999527e-02 8.318599999999999606e-02 4.188599999999999789e-03 -4.540699999999999945e-04 -1.603399999999999929e-05 1.147000000000000016e-03 5.944899999999999612e-06 7.600800000000000140e-06 -4.355100000000000027e-06
9.628100000000000547e-02 -7.888599999999999779e-02 8.339699999999999891e-02 4.181100000000000094e-03 -4.534200000000000058e-04 -1.853200000000000146e-05 1.156799999999999929e-03 5.795499999999999823e-06 8.017500000000000741e-06 -3.743299999999999803e-06
1.041699999999999987e-01 -7.618500000000000272e-02 8.454100000000000503e-02 4.180999999999999821e-03 -4.507000000000000047e-04 -2.549400000000000020e-05 1.183100000000000080e-03 5.202099999999999711e-06 9.063099999999999675e-06 -1.301099999999999918e-06
1.051099999999999951e-01 -7.596799999999999387e-02 8.387200000000000211e-02 4.162599999999999807e-03 -4.499300000000000239e-04 -2.654500000000000081e-05 1.186900000000000064e-03 5.056199999999999973e-06 9.188799999999999166e-06 -1.148699999999999903e-06
1.103500000000000036e-01 -7.655700000000000005e-02 7.772999999999999354e-02 4.055600000000000351e-03 -4.455300000000000254e-04 -3.186000000000000328e-05 1.204800000000000012e-03 4.402499999999999777e-06 9.719400000000000489e-06 1.457799999999999991e-07
1.139399999999999996e-01 -7.777599999999999791e-02 7.337200000000000666e-02 3.970500000000000071e-03 -4.427699999999999908e-04 -3.572099999999999901e-05 1.217299999999999936e-03 3.912500000000000233e-06 1.008100000000000055e-05 9.944500000000000672e-07
1.145800000000000013e-01 -7.707999999999999574e-02 7.272299999999999598e-02 3.956300000000000268e-03 -4.423000000000000174e-04 -3.633199999999999706e-05 1.219199999999999928e-03 3.833199999999999993e-06 1.011999999999999967e-05 1.168200000000000098e-06
1.227800000000000002e-01 -7.530199999999999394e-02 8.060199999999999310e-02 3.838100000000000105e-03 -4.334699999999999816e-04 -4.742099999999999880e-05 1.247099999999999901e-03 2.303399999999999834e-06 1.041899999999999969e-05 2.384699999999999801e-06
1.250000000000000000e-01 -7.469699999999999951e-02 8.348300000000000165e-02 3.924500000000000037e-03 -4.312699999999999824e-04 -5.015100000000000146e-05 1.253500000000000057e-03 2.032500000000000022e-06 1.044800000000000059e-05 2.755399999999999911e-06
1.316199999999999870e-01 -7.861600000000000532e-02 8.346299999999999553e-02 4.167999999999999830e-03 -4.218599999999999759e-04 -6.059799999999999817e-05 1.275599999999999998e-03 6.969699999999999736e-07 1.009100000000000045e-05 3.190699999999999792e-06
1.354200000000000126e-01 -7.849399999999999433e-02 8.229799999999999616e-02 4.144700000000000294e-03 -4.170099999999999935e-04 -6.611200000000000670e-05 1.286299999999999987e-03 3.520800000000000134e-07 9.890499999999999579e-06 3.367499999999999946e-06
